[05/21/20 22:14:20] [INFO] received Windows console close event; shutting log-core down
[05/21/20 22:15:11] [INFO] received Windows console close event; shutting log-core down
[05/21/20 22:32:19] [INFO] received Windows console close event; shutting log-core down
[05/21/20 22:34:52] [INFO] received Windows console close event; shutting log-core down
[05/21/20 23:07:39] [INFO] received Windows console close event; shutting log-core down
[05/21/20 23:18:35] [INFO] received Windows console close event; shutting log-core down
[05/21/20 23:19:14] [INFO] received Windows console close event; shutting log-core down
[05/22/20 00:12:44] [INFO] received Windows console close event; shutting log-core down
[05/22/20 01:48:20] [INFO] received Windows console close event; shutting log-core down
[05/22/20 02:08:50] [INFO] received Windows console close event; shutting log-core down
[05/22/20 02:43:48] [INFO] received Windows console close event; shutting log-core down
[05/22/20 02:51:03] [INFO] received Windows console close event; shutting log-core down
[05/22/20 02:54:12] [INFO] received Windows console close event; shutting log-core down
[05/22/20 14:49:26] [INFO] received Windows console close event; shutting log-core down
[05/22/20 16:08:46] [INFO] received Windows console close event; shutting log-core down
[05/22/20 18:49:21] [INFO] received Windows console close event; shutting log-core down
[05/22/20 19:02:58] [INFO] received Windows console close event; shutting log-core down
[05/22/20 20:04:33] [INFO] received Windows console close event; shutting log-core down
[05/22/20 20:13:22] [INFO] received Windows console close event; shutting log-core down
[05/22/20 20:40:53] [INFO] received Windows console close event; shutting log-core down
[05/23/20 02:20:45] [INFO] received Windows console close event; shutting log-core down
[05/23/20 02:49:53] [INFO] received Windows console close event; shutting log-core down
[05/23/20 06:47:39] [INFO] received Windows console close event; shutting log-core down
[05/23/20 06:47:55] [INFO] received Windows console close event; shutting log-core down
[05/23/20 06:50:02] [INFO] received Windows console close event; shutting log-core down
[05/23/20 07:02:45] [INFO] received Windows console close event; shutting log-core down
[05/23/20 07:13:24] [INFO] received Windows console close event; shutting log-core down
[05/23/20 07:20:37] [INFO] received Windows console close event; shutting log-core down
[05/23/20 07:23:22] [INFO] received Windows console close event; shutting log-core down
[05/23/20 07:32:46] [INFO] received Windows console close event; shutting log-core down
[05/23/20 07:34:45] [INFO] received Windows console close event; shutting log-core down
[05/23/20 07:57:14] [INFO] received Windows console close event; shutting log-core down
[05/23/20 08:00:31] [INFO] received Windows console close event; shutting log-core down
[05/23/20 08:11:27] [INFO] received Windows console close event; shutting log-core down
[05/23/20 08:22:51] [INFO] received Windows console close event; shutting log-core down
[05/23/20 08:33:17] [INFO] received Windows console close event; shutting log-core down
[05/23/20 08:54:53] [INFO] received Windows console close event; shutting log-core down
[05/23/20 09:01:15] [INFO] received Windows console close event; shutting log-core down
[05/23/20 09:06:46] [INFO] received Windows console close event; shutting log-core down
[05/23/20 09:13:12] [INFO] received Windows console close event; shutting log-core down
[05/23/20 09:23:33] [INFO] received Windows console close event; shutting log-core down
[05/23/20 16:47:51] [INFO] received Windows console close event; shutting log-core down
[05/23/20 17:32:43] [INFO] received Windows console close event; shutting log-core down
[05/23/20 17:49:03] [INFO] received Windows console close event; shutting log-core down
[05/23/20 18:00:30] [INFO] received Windows console close event; shutting log-core down
[05/23/20 18:24:23] [INFO] received Windows console close event; shutting log-core down
[05/23/20 18:28:14] [INFO] received Windows console close event; shutting log-core down
[05/23/20 18:29:55] [INFO] received Windows console close event; shutting log-core down
[05/23/20 18:38:56] [INFO] received Windows console close event; shutting log-core down
[05/23/20 18:42:47] [INFO] received Windows console close event; shutting log-core down
[05/23/20 19:30:13] [INFO] received Windows console close event; shutting log-core down
[05/24/20 04:18:14] [INFO] received Windows console close event; shutting log-core down
[05/24/20 14:41:18] [INFO] received Windows console close event; shutting log-core down
[05/24/20 15:07:15] [INFO] received Windows console close event; shutting log-core down
[05/24/20 15:16:12] [INFO] received Windows console close event; shutting log-core down
[05/24/20 15:59:05] [INFO] received Windows console close event; shutting log-core down
[05/24/20 16:55:48] [INFO] received Windows console close event; shutting log-core down
[05/24/20 19:41:29] [INFO] received Windows console close event; shutting log-core down
[05/25/20 00:18:19] [INFO] received Windows console close event; shutting log-core down
[05/25/20 00:21:35] [INFO] received Windows console close event; shutting log-core down
[05/25/20 01:57:15] [INFO] received Windows console close event; shutting log-core down
[05/25/20 14:35:32] [INFO] received Windows console close event; shutting log-core down
[05/25/20 15:25:27] [INFO] received Windows console close event; shutting log-core down
[05/25/20 15:25:43] [INFO] received Windows console close event; shutting log-core down
[05/25/20 15:30:22] [INFO] received Windows console close event; shutting log-core down
[05/25/20 15:32:32] [INFO] received Windows console close event; shutting log-core down
[05/26/20 22:08:34] [INFO] received Windows console close event; shutting log-core down
[05/26/20 22:12:03] [INFO] received Windows console close event; shutting log-core down
[05/27/20 18:29:29] [INFO] received Windows console close event; shutting log-core down
[05/28/20 18:24:17] [INFO] received Windows console close event; shutting log-core down
[05/03/21 01:54:10] [INFO] received Windows console close event; shutting log-core down
[05/03/21 03:06:49] [INFO] received Windows console close event; shutting log-core down
[05/03/21 03:06:57] [INFO] received Windows console close event; shutting log-core down
[05/03/21 04:30:51] [INFO] received Windows console close event; shutting log-core down
[05/03/21 04:33:57] [INFO] received Windows console close event; shutting log-core down
[05/03/21 04:35:42] [INFO] received Windows console close event; shutting log-core down
[05/03/21 04:36:59] [INFO] received Windows console close event; shutting log-core down
[05/03/21 04:46:26] [INFO] received Windows console close event; shutting log-core down
[05/03/21 04:46:28] [INFO] received Windows console close event; shutting log-core down
[05/03/21 04:46:46] [INFO] received Windows console close event; shutting log-core down
[05/03/21 04:46:51] [INFO] received Windows console close event; shutting log-core down
[05/03/21 06:44:30] [INFO] received Windows console close event; shutting log-core down
[05/03/21 09:33:51] [INFO] received Windows console close event; shutting log-core down
[05/03/21 09:33:55] [INFO] received Windows console close event; shutting log-core down
[05/04/21 11:21:38] [INFO] received Windows console close event; shutting log-core down
[05/04/21 11:24:39] [INFO] received Windows console close event; shutting log-core down
[05/08/21 21:19:04] [INFO] received Windows console close event; shutting log-core down
[05/09/21 15:35:08] [INFO] received Windows console close event; shutting log-core down
[05/09/21 15:44:00] [INFO] received Windows console close event; shutting log-core down
[05/09/21 15:45:08] [INFO] received Windows console close event; shutting log-core down
[05/09/21 17:27:23] [INFO] received Windows console close event; shutting log-core down
[05/10/21 20:42:09] [INFO] received Windows console close event; shutting log-core down
[05/11/21 00:03:31] [INFO] received Windows console close event; shutting log-core down
[05/11/21 00:04:36] [INFO] received Windows console close event; shutting log-core down
[05/11/21 00:11:03] [INFO] received Windows console close event; shutting log-core down
[05/11/21 00:14:13] [INFO] received Windows console close event; shutting log-core down
[05/11/21 00:14:57] [INFO] received Windows console close event; shutting log-core down
[05/11/21 00:27:41] [INFO] received Windows console close event; shutting log-core down
[05/11/21 00:31:32] [INFO] received Windows console close event; shutting log-core down
[05/11/21 00:38:05] [INFO] received Windows console close event; shutting log-core down
[05/11/21 00:41:56] [INFO] received Windows console close event; shutting log-core down
[05/11/21 00:47:16] [INFO] received Windows console close event; shutting log-core down
[05/11/21 00:48:05] [INFO] received Windows console close event; shutting log-core down
[05/13/21 14:07:27] [INFO] received Windows console close event; shutting log-core down
[05/13/21 14:18:38] [INFO] received Windows console close event; shutting log-core down
[05/13/21 14:42:12] [INFO] received Windows console close event; shutting log-core down
[05/13/21 14:45:28] [INFO] received Windows console close event; shutting log-core down
[05/13/21 15:12:46] [INFO] received Windows console close event; shutting log-core down
[01/19/22 22:00:01] [INFO] received Windows console close event; shutting log-core down
[01/19/22 22:11:23] [INFO] received Windows console close event; shutting log-core down
[01/19/22 22:36:52] [INFO] received Windows console close event; shutting log-core down
[01/19/22 22:40:44] [INFO] received Windows console close event; shutting log-core down
[01/19/22 22:41:37] [INFO] received Windows console close event; shutting log-core down
[01/19/22 22:43:24] [INFO] received Windows console close event; shutting log-core down
[01/19/22 22:47:27] [INFO] received Windows console close event; shutting log-core down
[01/19/22 22:56:42] [INFO] received Windows console close event; shutting log-core down
[01/19/22 23:05:05] [INFO] received Windows console close event; shutting log-core down
[01/19/22 23:14:25] [INFO] received Windows console close event; shutting log-core down
[01/19/22 23:31:21] [INFO] received Windows console close event; shutting log-core down
[01/19/22 23:44:14] [INFO] received Windows console close event; shutting log-core down
[01/19/22 23:45:11] [INFO] received Windows console close event; shutting log-core down
[01/19/22 23:48:57] [INFO] received Windows console close event; shutting log-core down
[01/19/22 23:51:16] [INFO] received Windows console close event; shutting log-core down
[01/19/22 23:53:06] [INFO] received Windows console close event; shutting log-core down
[01/20/22 00:46:05] [INFO] received Windows console close event; shutting log-core down
